player_name,age,club,matches_used,shot_stopping_score,handling_score,distribution_score,sweeping_score,reliability_score,consistency_score,current_score,current_rank,success_probability,potential_score,potential_rank,confidence_score,similar_gk_1,similarity_score_1,similar_gk_1_young_age,similar_gk_1_shot_stopping,similar_gk_1_handling,similar_gk_1_distribution,similar_gk_1_sweeping,similar_gk_1_reliability,similar_gk_2,similarity_score_2,similar_gk_3,similarity_score_3
Daniel Bielica,26.0,NAC Breda,57,50.39267628177657,49.775661589425795,55.783616524473445,51.13641687341245,43.38376945394587,43.904859160782856,49.42611621725871,123,0.37550992,37.55099,58.0,83.12668246051159,Nacho Miras,0.9990435845035948,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,Andrija Katic,0.9988250586181687,Hidde Jurjus,0.99765382810591
Emile Doucouré,18.0,Jong Genk,1,57.57045896248534,36.082615518893896,46.16182540266882,51.17360177442839,51.92066812108533,,49.41342840458461,124,0.0011299466,0.112994656,106.0,46.163415697017925,Hans Christian Bernat,0.9953277392923184,25.0,52.040407699833295,45.34001704045558,46.115011965232675,47.65636037167391,51.025171333703526,Patrick Drewes,0.9944500515407746,Filip Stanković,0.993230445535367
Maduka Okoye,26.0,Udinese Calcio,63,51.57580906813615,47.33627567102256,51.39337028986046,47.55508913192603,48.81325142644589,43.89119622791523,49.36172240800196,125,0.88892627,88.892624,36.0,83.14475529616487,Taishi Brandon Nozawa,0.9993081822504181,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,Patrick Drewes,0.9992852291081589,Nacho Miras,0.9991462314204531
Simon Spari,23.0,FC St. Pauli II,9,50.31957160783764,49.68818345179828,50.290361257379416,50.52704627669473,47.2981865404111,44.793136648268394,49.329061129482966,126,0.0010181968,0.10181968,107.0,55.42904737570066,Nacho Miras,0.9997980758879798,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,Taishi Brandon Nozawa,0.999779176527292,Kamil Grabara,0.9995333857067425
Jesper Heim,26.0,TSV Steinbach Haiger,36,52.67468517807888,46.90440498044102,50.09282933109076,48.10695944494364,48.17199076095813,43.72442055592812,49.32852607365788,127,0.89008087,89.00809,35.0,83.09269456536272,Patrick Drewes,0.999312008190567,33.0,56.194363581176795,49.24218205633876,54.797733736052706,53.51661865971393,55.07915620368409,Nacho Miras,0.9991245405253903,Taishi Brandon Nozawa,0.9991002911424717
Benjamin Siegrist,34.0,Genua CFC,2,50.66879647984586,41.38430890225183,56.75618458294193,37.58373160910385,55.46262701544595,49.52324783902638,49.31798936779631,128,,,,17.52364101837458,,,,,,,,,,,,
Ivan Rehak,24.0,MFK Dukla Banska Bystrica,22,48.46546952379847,47.97411215201507,48.0998858181014,47.789735172973735,54.79375504937491,43.59600882488505,49.26697112867437,129,0.0015382437,0.15382437,103.0,72.39753564485372,Georgiy Yermakov,0.9998067932102628,23.0,48.90315283987026,48.29634971938516,50.747194502228155,48.64026799712225,54.65402244572019,Pavlo Isenko,0.9994099992505772,Antonín Kinský,0.9993231739446481
Oscar Linnér,29.0,Petrolul Ploiesti,2,50.0,49.99999999999999,50.0,50.0,,35.0,49.25,130,,,,13.166666666666668,,,,,,,,,,,,
Justin Treichel,23.0,Roda JC Kerkrade,45,48.84356829818349,55.048952790201554,50.81256096605745,47.58550233128987,44.985640824850606,43.90884745398811,49.235865963202485,131,0.6580824,65.80824,48.0,83.12299814058349,Nacho Miras,0.9985800340422833,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,Taishi Brandon Nozawa,0.9982805811940886,Brent Gabriël,0.9981737752023337
Yanick van Osch,28.0,SC Cambuur Leeuwarden,36,48.94940992990784,48.9139847179109,48.09192072385477,52.044277197737365,50.297042044412095,45.63627793081103,49.227058056329454,132,,,,53.69088337924331,,,,,,,,,,,,
Robin Risser,21.0,RC Lens,22,50.545849663050774,51.92206229719974,51.081304640447286,50.728816073272306,43.27471623850143,44.96859453459017,49.18661763617931,133,0.665202,66.5202,46.0,72.78622336447589,Nacho Miras,0.9996097264255147,28.0,48.7938091651079,47.71209134733794,49.31243331379464,47.810417360875455,43.66765289912867,Taishi Brandon Nozawa,0.9984934688374452,Kamil Grabara,0.9981279718135897
Klemen Mihelak,24.0,FK Jablonec,4,60.827841307362775,42.36211664490559,46.58556069208174,38.03484761557815,46.44833998134262,47.05835925809241,49.15468054573317,134,0.8317441,83.17441,40.0,49.221168015159215,Andrea Hoxha,0.9944461425115001,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Hans Christian Bernat,0.9926912134800991,Marco Bizot,0.9898953344482169
Albert Posiadala,23.0,Molde FK,15,49.0124583567773,53.06345054779916,41.81035710931764,50.901387818866,51.49173547429654,43.466274506598126,49.14978078506648,135,0.026793273,2.6793272,69.0,63.005207616680124,Matous Trmal,0.9990044682054567,27.0,47.260051870133246,49.682929433036996,42.75705793864761,50.899266064812615,55.028738995062554,Hervé Koffi,0.9987987401304315,Antonín Kinský,0.9987293181341811
Jan de Boer,25.0,VVV-Venlo,34,51.90455540185315,45.03166090508707,51.66756866597983,48.16744269320791,48.776047777981006,44.384834619961495,49.11902965738541,136,0.012408746,1.2408746,75.0,83.28309996815088,Patrick Drewes,0.999334654980534,33.0,56.194363581176795,49.24218205633876,54.797733736052706,53.51661865971393,55.07915620368409,Taishi Brandon Nozawa,0.9987248976239975,Nacho Miras,0.9987054056117115
Michael Verrips,29.0,FCV Dender EH,33,51.906027328705825,45.396860395561205,49.752981999266424,42.6520627730028,52.42013149648189,45.097178303391594,49.11821906938019,137,,,,53.52915349101748,,,,,,,,,,,,
Ortwin De Wolf,28.0,KV Mechelen,33,50.40025487831133,49.85097421390001,49.59373130222811,48.12194118449054,47.66543080792153,44.44436533893144,49.09682954858755,138,,,,53.33330960167943,,,,,,,,,,,,
Denis Pintol,26.0,HNK Vukovar 1991,4,37.91587721723118,56.49251575758247,54.11636261895992,48.860954928550626,56.401023909158695,42.66199840056286,49.090120904244785,139,0.6521053,65.210526,50.0,47.98103498083016,Justin Heekeren,0.9969323405112746,25.0,49.05727410790486,57.9558222326541,53.42344422939864,52.72992412709227,59.65002782817045,Brent Gabriël,0.9946544406205718,Luca Petzold,0.9933234316009507
Ziga Frelih,28.0,Spartak Trnava,53,46.456177038579064,49.154940073914,45.732251316026016,50.400805097537024,56.02619244194042,44.039027929672564,49.07494921838583,140,,,,53.21170837890177,,,,,,,,,,,,
Matheus,33.0,Roter Stern Belgrad,21,50.823984141526054,48.052876691317344,54.90853143408305,55.21418652710311,41.50792830361916,43.01725909478428,49.067917564007104,141,,,,40.905177728435284,,,,,,,,,,,,
Radoslaw Majecki,26.0,AS Monaco,35,52.53810062726668,50.35250449791379,41.6974866767177,45.49679925458251,50.91071849446937,44.975728529321295,49.0671641400886,142,0.9334581,93.34581,28.0,83.4480798096805,Hervé Koffi,0.998678858343982,29.0,52.696353931360704,54.15274124872919,47.40748326499958,49.3595509736496,52.37970963047071,Antonín Kinský,0.998605344167563,Pavlo Isenko,0.9982519225768652
Michel Witte,26.0,FV Illertissen,9,46.03671566704465,49.973024714559614,60.50307537872962,56.48074638302628,41.26579804761413,44.754818324993224,49.020056113909874,143,0.0054524825,0.54524827,84.0,55.34398445383195,Andrija Katic,0.9983252963682736,24.0,45.246200331557006,51.7338110413664,57.3644801484022,49.487108187905434,42.67767530386597,Hidde Jurjus,0.9970304286252818,Luca Petzold,0.9963981706398433
Tein Troost,24.0,KSC Lokeren-Temse,12,53.74319074344583,42.65657583842644,49.564936021281476,53.73343369770816,46.37602331885751,44.958428936254585,48.98548227426631,144,0.0018614766,0.18614766,96.0,59.41014155150843,Patrick Drewes,0.9976576486605886,33.0,56.194363581176795,49.24218205633876,54.797733736052706,53.51661865971393,55.07915620368409,Hidde Jurjus,0.9973297415959597,Nacho Miras,0.997273896806658
Krisztián Hegyi,23.0,Debreceni VSC,4,51.86615908733566,44.26024194115695,50.0,43.50480947161671,52.1650635094611,43.57923575123991,48.87435155104797,145,0.21585818,21.585817,61.0,48.3772089631869,Andrea Hoxha,0.9997251125336103,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Dominik Holec,0.9986742002491512,Hans Christian Bernat,0.9986111776653979
Yvon Mvogo,31.0,FC Lorient,52,47.610033350174945,49.72298249113128,52.33295480692084,45.518377487055474,49.88442339582538,45.284056295743554,48.87047496697466,146,,,,53.58521688872307,,,,,,,,,,,,
Tom de Graaff,21.0,PEC Zwolle,23,48.570163672401506,50.489498843612374,50.83541183922868,42.314589314954986,50.29841341476383,44.692787430005566,48.82004163227577,147,0.9929367,99.29367,9.0,74.01838317564967,Taishi Brandon Nozawa,0.998243721569255,23.0,48.16414606588572,48.96902843973658,48.98613572643285,48.471602523229684,48.16491925958806,Pavlo Isenko,0.9981356177008975,Georgiy Yermakov,0.9980086887279812
Ben Voll,25.0,FC St. Pauli II,3,48.39028130771815,42.01661706742797,53.15367795220729,39.24907249969262,58.59372269313882,45.22845990614365,48.798534282536345,148,0.0016787953,0.16787954,100.0,47.44989243410677,Andrea Hoxha,0.9973189445956588,26.0,54.632190511818685,46.781928732438104,51.94897888011032,42.69658991973789,54.98302139277174,Dominik Holec,0.9959674870920767,Georgiy Yermakov,0.9948490145386325
Julien Devriendt,27.0,Patro Eisden Maasmechelen,26,44.71644621222124,53.384046119137615,51.207290762668656,51.68809112223792,48.47149108692354,42.70840937705058,48.77136450035522,149,,,,47.479189479781844,,,,,,,,,,,,
Davor Matijas,26.0,HNK Gorica,24,50.56212035037484,46.10317134084708,47.43358643969733,50.15187267619325,50.270465798978535,43.7839479158168,48.76278616244234,150,0.007185497,0.71854967,81.0,75.12181512713786,Gasper Tratnik,0.9996015981017632,26.0,50.43560985582375,49.29855708187071,47.24263753649173,50.039028123341225,49.434155990641024,Rihards Matrevics,0.9995823842473032,Hans Christian Bernat,0.999479092890216
